cif_id,cust_first_name,cust_middle_name,cust_last_name,full_name,cust_type,cust_dob,gender,address_line,employment_status,salary_per_month,riskrating,marital_status,occupation,blacklisted,pan,email,cust_community,rating,constitution_code,constitution_code_desc,mobile_number,account_relationship_date
DLNINDV7862663,GANESHA,,DONGAL,GANESHA DONGAL,INDIVIDUAL,1988-02-17T00:00:00.000000,F,"BARBARDIYA-10, BARDIYA",,0.0,LOW RISK,OTHERS,NOT AVAILABLE,N,PN91663,ganesha_dongal29@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779844039166.0,2018-03-26T00:00:00.000000
DLNINDV6312728,DEEWA,,MEJU,DEEWA MEJU,INDIVIDUAL,1943-04-05T00:00:00.000000,F,"WARD NO-9, BIRATNAGAR",,0.0,LOW RISK,OTHERS,BUSINESSMAN,N,PN75009,deewa_meju80@gmail.com,,,INDIV,INDIVIDUAL,9779821526708.0,2011-05-16T00:00:00.000000
DLNLEG2086316,,,PALPA HEALTHCARE PVT. LTD.,PALPA HEALTHCARE PVT. LTD.,LEGAL,1900-01-01T00:00:00.000000,,.,,,LOW RISK,,,,PN34264,palpahealthcarepvt.ltd.52@outlook.org,,SATIS,PARTN,PARTNERSHIP,,2012-05-14T00:00:00.000000
DLNLEG2205395,,,MANASLU HOSPITALITY PVT. LTD.,MANASLU HOSPITALITY PVT. LTD.,LEGAL,2015-09-15T00:00:00.000000,,DUMRE,,,LEVEL 1 HIGH RISK (H1),,,,PN17193,manasluhospitalitypvt.ltd.37@outlook.org,,,PROP,PROPRIETORSHIP,,2019-02-06T00:00:00.000000
DLNLEG5974003,,,SHREE KRISHNA FOUNDATION NGO,SHREE KRISHNA FOUNDATION NGO,LEGAL,2019-02-04T00:00:00.000000,,GORKHA,,,,,,,PN81625,shreekrishnafoundationngo93@outlook.org,,,USTS,UPABHOKTA SAMITTEE OR TOLESUDHAR SAMITTEE,,2019-02-06T00:00:00.000000
DLNLEG3561572,,,HIMALAYAN CONSULTANCY PVT. LTD.,HIMALAYAN CONSULTANCY PVT. LTD.,LEGAL,2018-06-11T00:00:00.000000,,BATTISPUTALI,,,,,,,PN67032,himalayanconsultancypvt.ltd.10@outlook.org,,,PRIVA,PRIVATE LTD.,,2019-02-06T00:00:00.000000
DLNLEG9940708,,,BARDIA BUILDERS PVT. LTD.,BARDIA BUILDERS PVT. LTD.,LEGAL,2009-10-22T00:00:00.000000,,CHISAPANI,,,,,,,PN94317,bardiabuilderspvt.ltd.32@outlook.org,,,PROP,PROPRIETORSHIP,,2019-02-06T00:00:00.000000
DLNINDV8337813,DHIRAN,,RILAMI,DHIRAN RILAMI,INDIVIDUAL,1971-11-21T00:00:00.000000,M,BANSBARI,Housewife,8333.33333333333,LOW RISK,MARRIED,HOUSEWIFE,N,PN23268,dhiran_rilami96@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779841359490.0,2019-03-22T00:00:00.000000
DLNINDV7596527,SIMA,,DHITAL,SIMA DHITAL,INDIVIDUAL,1955-08-05T00:00:00.000000,F,BALUWATAR,Employed,48000.0,LOW RISK,MARRIED,SERVICE,N,PN16238,sima_dhital98@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779860923350.0,2019-02-18T00:00:00.000000
DLNINDV2090590,MILAN,,AAFRIN,MILAN AAFRIN,INDIVIDUAL,1987-01-17T00:00:00.000000,F,DUDHE,Housewife,8333.33333333333,LOW RISK,MARRIED,HOUSEWIFE,N,PN39366,milan_aafrin8@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779818508681.0,2019-09-17T00:00:00.000000
DLNINDV7391171,MRIDUL,,RAWAT,MRIDUL RAWAT,INDIVIDUAL,2000-01-01T00:00:00.000000,M,MAHENDRA HIGHWAY,Employed,16666.6666666666,LOW RISK,UNMARRIED,STUDENT,N,PN10030,mridul_rawat55@gmail.com,HINDU,,INDIV,INDIVIDUAL,9770000000000.0,2019-09-28T00:00:00.000000
DLNINDV4477841,RATNA,,NAGAJU,RATNA NAGAJU,INDIVIDUAL,1970-11-30T00:00:00.000000,F,"MAHENDRAPOOL-4, POKHARA",,,LOW RISK,OTHERS,BUSINESSMAN,N,PN75382,ratna_nagaju4@gmail.com,HINDU,SATIS,INDIV,INDIVIDUAL,9779861229290.0,2011-03-09T00:00:00.000000
DLNINDV4462827,LOKRAJ,,VARMA,LOKRAJ VARMA,INDIVIDUAL,2020-08-14T00:00:00.000000,M,MADHUBAN,Other,4166.66666666666,LOW RISK,UNMARRIED,UNEMPLOYED,N,PN47482,lokraj_varma13@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779851196654.0,2020-12-15T00:00:00.000000
DLNINDV6698024,SUSHRITA,,KHAMABA,SUSHRITA KHAMABA,INDIVIDUAL,1996-10-02T00:00:00.000000,F,BARGACHI,Salaried,8333.33333333333,LOW RISK,UNMARRIED,SERVICE,N,PN52670,sushrita_khamaba18@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779807971052.0,2021-02-22T00:00:00.000000
DLNINDV3811615,SWOPNA,,GACHHADAR,SWOPNA GACHHADAR,INDIVIDUAL,1961-12-06T00:00:00.000000,F,"SUKEDHARA-07, BUDANILKANTHA, KATHMANDU",,0.0,LOW RISK,UNMARRIED,ENGINEER,N,PN42467,swopna_gachhadar58@gmail.com,HINDU,SATIS,INDIV,INDIVIDUAL,9779812678223.0,2017-07-05T00:00:00.000000
DLNLEG1757537,,,PHEWA AUTO PARTS PVT. LTD.,PHEWA AUTO PARTS PVT. LTD.,LEGAL,2019-01-22T00:00:00.000000,,DUHABI,,,,,,,PN65794,phewaautopartspvt.ltd.30@outlook.org,,,USTS,UPABHOKTA SAMITTEE OR TOLESUDHAR SAMITTEE,,2019-02-06T00:00:00.000000
DLNLEG9414360,,,KALINCHOWK REAL ESTATE PVT. LTD.,KALINCHOWK REAL ESTATE PVT. LTD.,LEGAL,1900-01-01T00:00:00.000000,,.,,,LOW RISK,,,,PN63549,kalinchowkrealestatepvt.ltd.23@outlook.org,,SATIS,PRIVA,PRIVATE LTD.,,2000-08-23T00:00:00.000000
DLNLEG2994423,,,JAJARKOT DAIRY CO-OP LTD.,JAJARKOT DAIRY CO-OP LTD.,LEGAL,1900-01-01T00:00:00.000000,,JEETPURSIMARA:07,,,LOW RISK,,NOT AVAILABLE,,PN91410,jajarkotdairyco-opltd.15@outlook.org,,SATIS,PROP,PROPRIETORSHIP,,2018-08-02T00:00:00.000000
DLNLEG8891601,,,BIRATNAGAR AUTOMOBILES PVT. LTD.,BIRATNAGAR AUTOMOBILES PVT. LTD.,LEGAL,1900-01-01T00:00:00.000000,,GAJURA-04,,,LOW RISK,,NOT AVAILABLE,,PN68991,biratnagarautomobilespvt.ltd.9@outlook.org,,SATIS,PROP,PROPRIETORSHIP,,2018-08-06T00:00:00.000000
DLNLEG4103875,,,JUMLA FOOD PRODUCTS PVT. LTD.,JUMLA FOOD PRODUCTS PVT. LTD.,LEGAL,2019-01-29T00:00:00.000000,,KANEPOKHARI,,,,,,,PN78858,jumlafoodproductspvt.ltd.29@outlook.org,,,USTS,UPABHOKTA SAMITTEE OR TOLESUDHAR SAMITTEE,,2019-02-07T00:00:00.000000
DLNLEG3520843,,,SUNSARI MANUFACTURING LTD.,SUNSARI MANUFACTURING LTD.,LEGAL,2013-02-10T00:00:00.000000,,DEVINAGAR,,,,,,,PN46123,sunsarimanufacturingltd.37@outlook.org,,,PROP,PROPRIETORSHIP,,2019-02-07T00:00:00.000000
DLNLEG9009785,,,NEPAL AIRLINES LTD.,NEPAL AIRLINES LTD.,LEGAL,2018-01-03T00:00:00.000000,,TIKULIGADH,,,,,,,PN97797,nepalairlinesltd.3@outlook.org,,,SCHOO,SCHOOL/COLLEGE,,2019-02-07T00:00:00.000000
DLNINDV4549269,SANTWANA,,JAMARKATEL,SANTWANA JAMARKATEL,INDIVIDUAL,1968-04-13T00:00:00.000000,F,.,,0.0,LOW RISK,MARRIED,HOUSEWIFE,N,PN81245,santwana_jamarkatel41@gmail.com,HINDU,SATIS,INDIV,INDIVIDUAL,9779862840025.0,2013-01-16T00:00:00.000000
DLNINDV5481994,MADHUMALA,,GHUNGANA,MADHUMALA GHUNGANA,INDIVIDUAL,1983-06-09T00:00:00.000000,F,.,,,LOW RISK,OTHERS,SERVICE,N,PN98565,madhumala_ghungana50@gmail.com,HINDU,SATIS,INDIV,INDIVIDUAL,9779815548644.0,2013-05-22T00:00:00.000000
DLNLEG5746437,,,SUNSARI DIGITAL PVT. LTD.,SUNSARI DIGITAL PVT. LTD.,LEGAL,2012-11-12T00:00:00.000000,,KHANAR,,,,,,,PN40293,sunsaridigitalpvt.ltd.1@outlook.org,,SATIS,PROP,PROPRIETORSHIP,,2020-11-12T00:00:00.000000
DLNINDV9906142,NAWA,,CHATAUT,NAWA CHATAUT,INDIVIDUAL,1966-05-06T00:00:00.000000,M,MEHELDHARA,Retired,25000.0,LOW RISK,MARRIED,RETIRED,N,PN91821,nawa_chataut53@gmail.com,HINDU,,INDIV,INDIVIDUAL,9779847029228.0,2021-10-18T00:00:00.000000
